id,name,roomNum,femaleNumForMale,maleNumForFemale,femaleNumForFemale,maleNumForMale
1,null,0,0,0,0,0
2,Matsu,0,0,0,0,0
3,Kinmen,0,0,0,0,0
4,Taipei,0,0,0,0,0
5,New_Taipei,0,0,0,0,0
6,Keelung,0,0,0,0,0
7,Taoyuan,0,0,0,0,0
8,Taichung,0,0,0,0,0
9,Tainan,0,0,0,0,0
10,Kaohsiung,0,0,0,0,0
11,Hsinchu,0,0,0,0,0
12,Miaoli,0,0,0,0,0
13,Nantou,0,0,0,0,0
14,Changhua,0,0,0,0,0
15,Yunlin,0,0,0,0,0
16,Hualien,0,0,0,0,0
17,Taitung,0,0,0,0,0
18,Penghu,0,0,0,0,0
19,Green_Island,0,0,0,0,0
20,Orchid_Island,0,0,0,0,0
21,Pingtung,0,0,0,0,0
22,Chiayi,0,0,0,0,0
23,Yilan,0,0,0,0,0
