id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,2021-12-10 13:50:32.769693,2,graduate_girl,,14,30,3
2,2021-12-10 13:50:32.776380,1,test_graduate_girl,,14,30,3
3,2021-12-12 16:42:36.795615,7,room-7,,8,30,3
4,2021-12-12 16:42:36.798266,6,room-6,,8,30,3
5,2021-12-12 16:42:36.800109,5,room-5,,8,30,3
6,2021-12-12 16:42:36.801793,4,room-4,,8,30,3
7,2021-12-12 16:42:36.803571,3,room-3,,8,30,3
8,2022-01-12 09:54:58.954520,f873ae91-4c2a-4fe0-a5d5-c4555525714a,好的 (f873ae91-4c2a-4fe0-a5d5-c4555525714a),"[{""changed"": {""fields"": [""School"", ""Game""]}}]",9,30,2
9,2022-01-12 10:17:57.366223,e2abf309-688e-4fd3-b825-72fdb8a83d44,"森林@#$%!~()<>?:""{}+*_ (e2abf309-688e-4fd3-b825-72fdb8a83d44)","[{""changed"": {""fields"": [""Game""]}}]",9,30,2
10,2022-01-12 10:18:04.551753,2fa45349-a749-4ccc-843a-bf690fa544ee,"!@#$%^&*()_+}:Q""WMDO (2fa45349-a749-4ccc-843a-bf690fa544ee)","[{""changed"": {""fields"": [""Game""]}}]",9,30,2
